Category,Name,Monthly Amount,Notes
Household,Rent / Mortgage,1200,"Your rent or mortgage payment. This is usually your biggest expense."
Household,Electric,120,"Varies by season. Use your average or last month's bill."
Household,Water / Sewer,45,"Some apartments include this in rent -- if so, skip it."
Household,Internet,65,"Home internet. Don't forget to include the actual price, not the promo rate if it expired."
Household,Cell Phone,85,"Your share if you're on a family plan, or the full bill if you have your own."
Household,Renters / Home Insurance,25,"Renters insurance is cheap and worth it. Homeowners insurance may be rolled into your mortgage."
Household,Streaming Services,30,"Netflix, Spotify, YouTube, Disney+, etc. Add them all up -- they sneak up on you."
Auto & Insurance,Car Payment,350,"If you have a car loan or lease. Skip if your car is paid off."
Auto & Insurance,Car Insurance,150,"Monthly cost. If you pay every 6 months, divide by 6."
Auto & Insurance,Gas / Fuel,120,"Estimate based on your commute. Track it for a month if you're not sure."
Debt Payments,Student Loans,0,"Monthly minimum payment. Put 0 if you don't have any."
Debt Payments,Credit Card Minimum,0,"The minimum payment on any credit card balance. Ideally you're paying more than the minimum."
Subscriptions,Gym Membership,30,"Planet Fitness, YMCA, whatever. Cancel if you haven't gone in 3 months."
Subscriptions,Cloud Storage,3,"iCloud, Google One, Dropbox, etc."
Subscriptions,Other,0,"Gaming subscriptions, app subscriptions, Patreon, anything recurring."
